"Product Name","Product SKU","Template Name","Option Type","Option Title","Option ID","Option Value ID","Option Value Title",Price,"Price Type","Option Value SKU","Option Value Qty","Option Value Manage Stock","Option Value Cost","Option Value Description","Fast Ship","Custom Order","Tooltip Image","Tooltip Image Type","Base Image","Base Image Type","Images Data",mageworx_option_type_id
,,,drop_down,,72831,420992,"Dark olive green",60.0000,percent,DARK-OLIVE-GREEN-A-11,0.00,0,0.00,,0,1,/customoptions/80/5244/14/Dark-olive-green.jpg,image,/customoptions/80/5244/14/Dark-olive-green.jpg,image,"[{""value"":""/customoptions/80/5244/14/Dark-olive-green.jpg"",""option_type_image_id"":""452945"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",3dc085d2-4fe0-11e8-af31-0219d58c2290
,,,drop_down,,72831,420993,"Dark tan",60.0000,percent,DARK-TAN-A-80,0.00,0,0.00,,0,1,/customoptions/80/5244/15/Dark-tan.jpg,image,/customoptions/80/5244/15/Dark-tan.jpg,image,"[{""value"":""/customoptions/80/5244/15/Dark-tan.jpg"",""option_type_image_id"":""452946"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",3dc10fb2-4fe0-11e8-af31-0219d58c2290
,,,drop_down,,72831,420994,Black,60.0000,percent,MJ-Brother-Black-A-10,0.00,0,0.00,,0,1,/customoptions/80/5244/16/Black.jpg,image,/customoptions/80/5244/16/Black.jpg,image,"[{""value"":""/customoptions/80/5244/16/Black.jpg"",""option_type_image_id"":""452947"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",3dc19428-4fe0-11e8-af31-0219d58c2290
,,,drop_down,,72831,420995,Tan,60.0000,percent,MJ-Brother-KS2195-Tan,0.00,0,0.00,,0,1,/customoptions/80/5244/17/Tan.jpg,image,/customoptions/80/5244/17/Tan.jpg,image,"[{""value"":""/customoptions/80/5244/17/Tan.jpg"",""option_type_image_id"":""452948"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",3dc21888-4fe0-11e8-af31-0219d58c2290
"Bellport slat table bench",sbx-000926,,checkbox,"I have my own material/leather (COM/COL)",68276,396513,"Yes, I'd like to use my own material",15.0000,percent,,0.00,0,0.00,,0,0,,,,,,b8d04416-4ed7-11e8-af31-0219d58c2290
"Bellport slat table bench",sbx-000926,,checkbox,"Need It Faster? Rush Delivery Available.",68277,396514,Yes,75.0000,percent,,0.00,0,0.00,,0,1,,,,,,b8d213bc-4ed7-11e8-af31-0219d58c2290
"Alfred armrest deep large left module",sbx-000948,,drop_down,"Select a color:",73132,422752,Bone,0.0000,fixed,RUGI-01,0.00,0,0.00,,0,1,/customoptions/83/5452/1/Bone.jpg,image,/customoptions/83/5452/1/Bone.jpg,image,"[{""value"":""/customoptions/83/5452/1/Bone.jpg"",""option_type_image_id"":""454582"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",07945f05-6023-11e8-af31-0219d58c2290
,,,drop_down,,73132,422753,Oat,0.0000,fixed,RUGI-02,0.00,0,0.00,,0,1,/customoptions/83/5452/2/Oat.jpg,image,/customoptions/83/5452/2/Oat.jpg,image,"[{""value"":""/customoptions/83/5452/2/Oat.jpg"",""option_type_image_id"":""454583"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",0794f0e6-6023-11e8-af31-0219d58c2290
,,,drop_down,,73132,422754,Sand,0.0000,fixed,RUGI-04,0.00,0,0.00,,0,1,/customoptions/83/5452/3/Sand.jpg,image,/customoptions/83/5452/3/Sand.jpg,image,"[{""value"":""/customoptions/83/5452/3/Sand.jpg"",""option_type_image_id"":""454584"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",07958288-6023-11e8-af31-0219d58c2290
,,,drop_down,,73132,422755,Yellow,0.0000,fixed,RUGI-15,0.00,0,0.00,,0,1,/customoptions/83/5452/4/Yellow.jpg,image,/customoptions/83/5452/4/Yellow.jpg,image,"[{""value"":""/customoptions/83/5452/4/Yellow.jpg"",""option_type_image_id"":""454585"",""title_text"":"""",""sort_order"":""0"",""base_image"":""1"",""replace_main_gallery_image"":""0"",""custom_media_type"":""image"",""color"":"""",""disabled"":""0"",""tooltip_image"":""1""}]",0796165d-6023-11e8-af31-0219d58c2290
