group_id,group_title,product_id,sku,aanddmodern_product_id
80,22S Shenzhen Brother 7: Waxy leather (premium),3977,03C-S-FEC4929,200
82,22S Shenzhen Brother 8: Cow Pony Hide leather (premium),3977,03C-S-FEC4929,200
89,COM & RUSH,3977,03C-S-FEC4929,200
89,COM & RUSH,3977,03C-S-FEC4929,200
13,All - leatherette,4607,03C-S-FEC8539,204
39,22S Shenzhen Brother 2: Cashmere,4607,03C-S-FEC8539,204
40,22S Shenzhen Brother 4: Camira Hemp,4607,03C-S-FEC8539,204
48,01A Aeon Grade T,4607,03C-S-FEC8539,204
77,22S Shenzhen Brother 1: Cashmere blend,4607,03C-S-FEC8539,204
81,22S Shenzhen Brother 3: Camira,4607,03C-S-FEC8539,204
89,COM & RUSH,4607,03C-S-FEC8539,204
89,COM & RUSH,4607,03C-S-FEC8539,204
39,22S Shenzhen Brother 2: Cashmere,4679,03C-S-FEO7519,206
40,22S Shenzhen Brother 4: Camira Hemp,4679,03C-S-FEO7519,206
48,01A Aeon Grade T,4679,03C-S-FEO7519,206
49,01A Aeon Grade B,4679,03C-S-FEO7519,206
77,22S Shenzhen Brother 1: Cashmere blend,4679,03C-S-FEO7519,206
81,22S Shenzhen Brother 3: Camira,4679,03C-S-FEO7519,206
89,COM & RUSH,4679,03C-S-FEO7519,206
89,COM & RUSH,4679,03C-S-FEO7519,206
57,All - black and white,4449,03C-S-FET2316,208
89,COM & RUSH,4449,03C-S-FET2316,208
89,COM & RUSH,4449,03C-S-FET2316,208
50,01A Aeon Standard Leather,4011,03C-S-FF081,211
78,22S Shenzhen Brother 6: Aniline leather (premium),4011,03C-S-FF081,211
79,22S Shenzhen Brother 5: Italian leather (standard),4011,03C-S-FF081,211
80,22S Shenzhen Brother 7: Waxy leather (premium),4011,03C-S-FF081,211
89,COM & RUSH,4011,03C-S-FF081,211
89,COM & RUSH,4011,03C-S-FF081,211
50,01A Aeon Standard Leather,4013,03C-S-FF082,212
78,22S Shenzhen Brother 6: Aniline leather (premium),4013,03C-S-FF082,212
79,22S Shenzhen Brother 5: Italian leather (standard),4013,03C-S-FF082,212
80,22S Shenzhen Brother 7: Waxy leather (premium),4013,03C-S-FF082,212
89,COM & RUSH,4013,03C-S-FF082,212
89,COM & RUSH,4013,03C-S-FF082,212
39,22S Shenzhen Brother 2: Cashmere,4005,03C-S-FF083,213
40,22S Shenzhen Brother 4: Camira Hemp,4005,03C-S-FF083,213
77,22S Shenzhen Brother 1: Cashmere blend,4005,03C-S-FF083,213
81,22S Shenzhen Brother 3: Camira,4005,03C-S-FF083,213
88,16M Modway Furniture Fabric (loft),4005,03C-S-FF083,213
89,COM & RUSH,4005,03C-S-FF083,213
89,COM & RUSH,4005,03C-S-FF083,213
39,22S Shenzhen Brother 2: Cashmere,3981,03C-S-FIC1510,214
40,22S Shenzhen Brother 4: Camira Hemp,3981,03C-S-FIC1510,214
77,22S Shenzhen Brother 1: Cashmere blend,3981,03C-S-FIC1510,214
81,22S Shenzhen Brother 3: Camira,3981,03C-S-FIC1510,214
89,COM & RUSH,3981,03C-S-FIC1510,214
89,COM & RUSH,3981,03C-S-FIC1510,214
6,All - marble,4437,03C-S-FIT6160,215
57,All - black and white,4437,03C-S-FIT6160,215
89,COM & RUSH,4437,03C-S-FIT6160,215
89,COM & RUSH,4437,03C-S-FIT6160,215
6,All - marble,5733,03C-S-FIT7160,216
89,COM & RUSH,5733,03C-S-FIT7160,216
89,COM & RUSH,5733,03C-S-FIT7160,216
39,22S Shenzhen Brother 2: Cashmere,4087,03C-S-FXC917,219
40,22S Shenzhen Brother 4: Camira Hemp,4087,03C-S-FXC917,219
48,01A Aeon Grade T,4087,03C-S-FXC917,219
49,01A Aeon Grade B,4087,03C-S-FXC917,219
77,22S Shenzhen Brother 1: Cashmere blend,4087,03C-S-FXC917,219
81,22S Shenzhen Brother 3: Camira,4087,03C-S-FXC917,219
89,COM & RUSH,4087,03C-S-FXC917,219
89,COM & RUSH,4087,03C-S-FXC917,219
39,22S Shenzhen Brother 2: Cashmere,4765,03C-S-FYC9282,220
40,22S Shenzhen Brother 4: Camira Hemp,4765,03C-S-FYC9282,220
77,22S Shenzhen Brother 1: Cashmere blend,4765,03C-S-FYC9282,220
81,22S Shenzhen Brother 3: Camira,4765,03C-S-FYC9282,220
89,COM & RUSH,4765,03C-S-FYC9282,220
89,COM & RUSH,4765,03C-S-FYC9282,220
57,All - black and white,4089,03C-S-LBF001,239
57,All - black and white,3643,03C-S-LBF002,240
57,All - black and white,4091,03C-S-LS679F,244
57,All - black and white,5429,03C-S-PC016,247
89,COM & RUSH,4933,03C-S-RT335R54,250
89,COM & RUSH,4933,03C-S-RT335R54,250
6,All - marble,4767,03C-S-RT335R60,251
89,COM & RUSH,4767,03C-S-RT335R60,251
89,COM & RUSH,4767,03C-S-RT335R60,251
6,All - marble,4447,03C-S-RT335S,252
89,COM & RUSH,4447,03C-S-RT335S,252
89,COM & RUSH,4447,03C-S-RT335S,252
6,All - marble,4419,03C-S-RT335V,253
6,All - marble,4417,03C-S-RT335V60,254
89,COM & RUSH,4417,03C-S-RT335V60,254
89,COM & RUSH,4417,03C-S-RT335V60,254
39,22S Shenzhen Brother 2: Cashmere,4941,08F-FMI1129,260
40,22S Shenzhen Brother 4: Camira Hemp,4941,08F-FMI1129,260
48,01A Aeon Grade T,4941,08F-FMI1129,260
